"","word","block","id","cond","order","word_duration","vot","KF","vot_per","word_id"
"41","pall","b","3","g1",0,394.482338,69.376403,42,17.5866943376309,"pall3"
"81","pall","a","4","g1",0,410.492138,56.662183,42,13.8034758171178,"pall4"
"121","pall","b","4","g1",0,319.805205,51.037124,42,15.9588159298408,"pall4"
"161","pall","a","5","g1",0,346.210788,83.643363,42,24.1596639674902,"pall5"
"201","pall","b","5","g1",0,365.777462,60,42,16.4034163482713,"pall5"
"241","pall","a","6","g2",0,356.211625,46.367516,42,13.0168452531553,"pall6"
"280","pall","b","6","g2",0,338.756553,72.818397,42,21.4957899279368,"pall6"
"320","pall","a","7","g2",0,458.947494,97.462701,42,21.2361331686452,"pall7"
"360","pall","b","7","g2",0,444.400822,124.374043,42,27.9869066038766,"pall7"
"400","pall","a","8","g2",0,433.490818,66.187356,42,15.2684562744302,"pall8"
"440","pall","b","8","g2",0,431.269041,69.039868,42,16.008537927952,"pall8"
"480","pall","a","9","g2",0,376.905006,91.647309,42,24.3157579605085,"pall9"
"518","pall","b","9","g2",0,448.358391,68.049499,42,15.1774786344971,"pall9"
"558","pall","a","10","g2",0,409.584844,72.439787,42,17.6861492951141,"pall10"
"598","pall","b","10","g2",0,413.416702,80.122797,42,19.3806386177402,"pall10"
"637","pall","a","11","g1",0,383.60161,58.171346,42,15.1645208162708,"pall11"
"677","pall","b","11","g1",0,411.589708,76.830079,42,18.6666667087798,"pall11"
"717","pall","a","12","g1",0,372.625884,45.000475,42,12.0765832252276,"pall12"
"755","pall","b","12","g1",0,360.552586,74.086148,42,20.5479452586703,"pall12"
"793","pall","a","13","g1",0,497.496174,114.191373,42,22.9532163196093,"pall13"
"833","pall","b","13","g1",0,307.450249,86.552697,42,28.1517732646234,"pall13"
"873","pall","a","14","g1",0,374.65599,58.461421,42,15.6040267766705,"pall14"
"912","pall","b","14","g1",0,321.481445,48.004017,42,14.9321267981734,"pall14"
"952","pall","a","15","g1",0,533.862848,116.373373,42,21.7983651486458,"pall15"
"991","pall","b","15","g1",0,452.401492,48.004017,42,10.6109325121324,"pall15"
"1031","pall","a","16","g1",0,434.945485,78.552027,42,18.06020057893,"pall16"
"1071","pall","b","16","g1",0,346.210786,85.098029,42,24.5798318368972,"pall16"
"1111","pall","a","17","g1",0,378.031631,85.09803,42,22.5108226459494,"pall17"
"1151","pall","b","17","g1",0,371.303796,73.460692,42,19.7845249069309,"pall17"
"1191","pall","a","18","g1",0,350.722525,47.867641,42,13.648293904134,"pall18"
